set abbreviation,set name,card name,price
SWSH01,Sword & Shield Base Set,Crushing Hammer,0.1
SWSH01,Sword & Shield Base Set,Cufant,0.05
SWSH01,Sword & Shield Base Set,Darkness Energy,0.03
SWSH01,Sword & Shield Base Set,Dhelmise V,0.76
SWSH01,Sword & Shield Base Set,Dhelmise V (Full Art),2.71
SWSH01,Sword & Shield Base Set,Diglett,0.04
SWSH01,Sword & Shield Base Set,Dottler,0.04
SWSH01,Sword & Shield Base Set,Drampa,0.13
SWSH01,Sword & Shield Base Set,Drapion,0.21
SWSH01,Sword & Shield Base Set,Drednaw,0.09
SWSH01,Sword & Shield Base Set,Drizzile (056),0.29
SWSH01,Sword & Shield Base Set,Drizzile (057),0.09
SWSH01,Sword & Shield Base Set,Dubwool,0.07
SWSH01,Sword & Shield Base Set,Dugtrio,0.07
SWSH01,Sword & Shield Base Set,Durant,0.09
SWSH01,Sword & Shield Base Set,Eldegoss,0.07
SWSH01,Sword & Shield Base Set,Energy Retrieval,0.2
SWSH01,Sword & Shield Base Set,Energy Search,0.19
SWSH01,Sword & Shield Base Set,Energy Switch,0.09
SWSH01,Sword & Shield Base Set,Evolution Incense,0.18
SWSH01,Sword & Shield Base Set,Fairy Energy,0.07
SWSH01,Sword & Shield Base Set,Ferroseed,0.04
SWSH01,Sword & Shield Base Set,Ferrothorn,0.03
SWSH01,Sword & Shield Base Set,Fighting Energy,0.04
SWSH01,Sword & Shield Base Set,Fire Energy,0.05
SWSH01,Sword & Shield Base Set,Frosmoth,0.37
SWSH01,Sword & Shield Base Set,Galarian Linoone,0.06
SWSH01,Sword & Shield Base Set,Galarian Meowth,0.06
SWSH01,Sword & Shield Base Set,Galarian Obstagoon,0.37
SWSH01,Sword & Shield Base Set,Galarian Perrserker,0.39
SWSH01,Sword & Shield Base Set,Galarian Ponyta,0.07
SWSH01,Sword & Shield Base Set,Galarian Rapidash,0.44
SWSH01,Sword & Shield Base Set,Galarian Stunfisk,0.07
SWSH01,Sword & Shield Base Set,Galarian Zigzagoon,0.18
SWSH01,Sword & Shield Base Set,Galvantula,0.05
SWSH01,Sword & Shield Base Set,Gastly,0.08
SWSH01,Sword & Shield Base Set,Gengar,0.77
SWSH01,Sword & Shield Base Set,Goldeen (045),0.06
SWSH01,Sword & Shield Base Set,Goldeen (046),0.05
SWSH01,Sword & Shield Base Set,Gossifleur,0.1
SWSH01,Sword & Shield Base Set,Grapploct,0.18
SWSH01,Sword & Shield Base Set,Grass Energy,0.04
SWSH01,Sword & Shield Base Set,Great Ball,0.05
SWSH01,Sword & Shield Base Set,Grookey (010),0.05
SWSH01,Sword & Shield Base Set,Grookey (011),0.07
SWSH01,Sword & Shield Base Set,Haunter,0.12
SWSH01,Sword & Shield Base Set,Heatmor,0.04
SWSH01,Sword & Shield Base Set,Hitmonchan,0.1
SWSH01,Sword & Shield Base Set,Hitmonlee,0.11
SWSH01,Sword & Shield Base Set,Hoothoot,0.04
SWSH01,Sword & Shield Base Set,Hop,0.03
SWSH01,Sword & Shield Base Set,Hyper Potion,0.28
SWSH01,Sword & Shield Base Set,Indeedee V,0.99
SWSH01,Sword & Shield Base Set,Indeedee V (Full Art),1.72
SWSH01,Sword & Shield Base Set,Inteleon (058),0.94
SWSH01,Sword & Shield Base Set,Inteleon (059),0.26
SWSH01,Sword & Shield Base Set,Joltik,0.05
SWSH01,Sword & Shield Base Set,Keldeo V,1.1
SWSH01,Sword & Shield Base Set,Kingler,0.09
SWSH01,Sword & Shield Base Set,Krabby (042),0.06
SWSH01,Sword & Shield Base Set,Krabby (043),0.04
SWSH01,Sword & Shield Base Set,Lanturn,0.16
SWSH01,Sword & Shield Base Set,Lapras,0.18
SWSH01,Sword & Shield Base Set,Lapras V,1.28
SWSH01,Sword & Shield Base Set,Lapras V (Full Art),3.84
SWSH01,Sword & Shield Base Set,Lapras VMAX,2.86
SWSH01,Sword & Shield Base Set,Lapras VMAX (Secret),17.63
SWSH01,Sword & Shield Base Set,Lightning Energy,0.04
SWSH01,Sword & Shield Base Set,Lucky Egg,0.13
SWSH01,Sword & Shield Base Set,Lum Berry,0.05
SWSH01,Sword & Shield Base Set,Mantine,0.1
SWSH01,Sword & Shield Base Set,Maractus,0.06
SWSH01,Sword & Shield Base Set,Marnie,1.39
SWSH01,Sword & Shield Base Set,Marnie (Full Art),47.2
SWSH01,Sword & Shield Base Set,Marnie (Secret),23.15
SWSH01,Sword & Shield Base Set,Mawile,0.04
SWSH01,Sword & Shield Base Set,Metal Energy,0.04
SWSH01,Sword & Shield Base Set,Metal Saucer,0.11
SWSH01,Sword & Shield Base Set,Metal Saucer (Secret),5.1
SWSH01,Sword & Shield Base Set,Minccino (145),0.04
SWSH01,Sword & Shield Base Set,Minccino (146),0.04
SWSH01,Sword & Shield Base Set,Morpeko,0.22
SWSH01,Sword & Shield Base Set,Morpeko V,0.74
SWSH01,Sword & Shield Base Set,Morpeko V (Full Art),3.8
SWSH01,Sword & Shield Base Set,Morpeko VMAX,2.09
SWSH01,Sword & Shield Base Set,Morpeko VMAX (Secret),8.91
SWSH01,Sword & Shield Base Set,Mudbray,0.02
SWSH01,Sword & Shield Base Set,Mudsdale,0.16
SWSH01,Sword & Shield Base Set,Munna,0.08
SWSH01,Sword & Shield Base Set,Musharna,0.18
SWSH01,Sword & Shield Base Set,Nickit,0.03
SWSH01,Sword & Shield Base Set,Ninetales,0.15
SWSH01,Sword & Shield Base Set,Noctowl,0.14
SWSH01,Sword & Shield Base Set,Oranguru,1.31
SWSH01,Sword & Shield Base Set,Orbeetle,0.21
SWSH01,Sword & Shield Base Set,Ordinary Rod,0.68
SWSH01,Sword & Shield Base Set,Ordinary Rod (Secret),12.63
SWSH01,Sword & Shield Base Set,Pal Pad,0.7
SWSH01,Sword & Shield Base Set,Pawniard,0.04
SWSH01,Sword & Shield Base Set,Pikachu,0.13
SWSH01,Sword & Shield Base Set,Pincurchin,0.03
SWSH01,Sword & Shield Base Set,Poke Kid,0.1
SWSH01,Sword & Shield Base Set,Pokegear 3.0,0.31
SWSH01,Sword & Shield Base Set,Pokemon Catcher,0.12
SWSH01,Sword & Shield Base Set,Pokemon Center Lady,0.14
SWSH01,Sword & Shield Base Set,Polteageist,0.17
SWSH01,Sword & Shield Base Set,Potion,0.06
SWSH01,Sword & Shield Base Set,Professor's Research,0.25
SWSH01,Sword & Shield Base Set,Professor's Research (Full Art),3.87
SWSH01,Sword & Shield Base Set,Professor's Research (Secret),4.49
SWSH01,Sword & Shield Base Set,Psychic Energy,0.04
SWSH01,Sword & Shield Base Set,Quick Ball,0.38
SWSH01,Sword & Shield Base Set,Quick Ball (Secret),27.02
SWSH01,Sword & Shield Base Set,Qwilfish,0.07
SWSH01,Sword & Shield Base Set,Raboot (032),0.07
SWSH01,Sword & Shield Base Set,Raboot (033),0.08
SWSH01,Sword & Shield Base Set,Raichu,0.23
SWSH01,Sword & Shield Base Set,Rare Candy,0.08
SWSH01,Sword & Shield Base Set,Regirock V,1.02
SWSH01,Sword & Shield Base Set,Rhydon,0.08
SWSH01,Sword & Shield Base Set,Rhyhorn (096),0.04
SWSH01,Sword & Shield Base Set,Rhyhorn (097),0.04
SWSH01,Sword & Shield Base Set,Rhyperior,0.32
SWSH01,Sword & Shield Base Set,Rillaboom (014),0.29
SWSH01,Sword & Shield Base Set,Rillaboom (015),0.27
SWSH01,Sword & Shield Base Set,Rookidee,0.05
SWSH01,Sword & Shield Base Set,Roselia (002),0.06
SWSH01,Sword & Shield Base Set,Roselia (003),0.03
SWSH01,Sword & Shield Base Set,Roserade,0.23
SWSH01,Sword & Shield Base Set,Rotom Bike,0.06
SWSH01,Sword & Shield Base Set,Sableye V,1.22
SWSH01,Sword & Shield Base Set,Sableye V (Full Art),3.64
SWSH01,Sword & Shield Base Set,Salandit,0.05
SWSH01,Sword & Shield Base Set,Salazzle,0.05
SWSH01,Sword & Shield Base Set,Sandaconda (109),0.2
SWSH01,Sword & Shield Base Set,Sandaconda (110),0.26
SWSH01,Sword & Shield Base Set,Scorbunny (030),0.04
SWSH01,Sword & Shield Base Set,Scorbunny (031),0.05
SWSH01,Sword & Shield Base Set,Seaking,0.07
SWSH01,Sword & Shield Base Set,Shellder,0.03
SWSH01,Sword & Shield Base Set,Silicobra (107),0.03
SWSH01,Sword & Shield Base Set,Silicobra (108),0.04
SWSH01,Sword & Shield Base Set,Sinistea,0.05
SWSH01,Sword & Shield Base Set,Sitrus Berry,0.05
SWSH01,Sword & Shield Base Set,Sizzlipede (037),0.04
SWSH01,Sword & Shield Base Set,Sizzlipede (038),0.04
SWSH01,Sword & Shield Base Set,Skorupi,0.06
SWSH01,Sword & Shield Base Set,Snom,0.1
SWSH01,Sword & Shield Base Set,Snorlax,0.21
SWSH01,Sword & Shield Base Set,Snorlax V,2.78
SWSH01,Sword & Shield Base Set,Snorlax V (Full Art),8.91
SWSH01,Sword & Shield Base Set,Snorlax VMAX,15.51
SWSH01,Sword & Shield Base Set,Snorlax VMAX (Secret),30.62
SWSH01,Sword & Shield Base Set,Sobble (054),0.04
SWSH01,Sword & Shield Base Set,Sobble (055),0.05
SWSH01,Sword & Shield Base Set,Stonjourner,0.17
SWSH01,Sword & Shield Base Set,Stonjourner V,1.07
SWSH01,Sword & Shield Base Set,Stonjourner V (Full Art),2.48
SWSH01,Sword & Shield Base Set,Stonjourner VMAX,1.99
SWSH01,Sword & Shield Base Set,Stonjourner VMAX (Secret),7.73
SWSH01,Sword & Shield Base Set,Sudowoodo,0.07
SWSH01,Sword & Shield Base Set,Switch,0.11
SWSH01,Sword & Shield Base Set,Tapu Koko V,1.34
SWSH01,Sword & Shield Base Set,Team Yell Grunt,0.05
SWSH01,Sword & Shield Base Set,Team Yell Grunt (Full Art),2.44
SWSH01,Sword & Shield Base Set,Team Yell Grunt (Secret),4.28
SWSH01,Sword & Shield Base Set,Thievul,0.16
SWSH01,Sword & Shield Base Set,Thwackey (012),0.09
SWSH01,Sword & Shield Base Set,Thwackey (013),0.06
SWSH01,Sword & Shield Base Set,Torkoal V,1.08
SWSH01,Sword & Shield Base Set,Torkoal V (Full Art),3.06
SWSH01,Sword & Shield Base Set,Toxicroak,0.79
SWSH01,Sword & Shield Base Set,Turtonator,0.22
SWSH01,Sword & Shield Base Set,Victini V,1.06
SWSH01,Sword & Shield Base Set,Vitality Band,0.05
SWSH01,Sword & Shield Base Set,Vulpix,0.04
SWSH01,Sword & Shield Base Set,Water Energy,0.06
SWSH01,Sword & Shield Base Set,Whimsicott,0.17
SWSH01,Sword & Shield Base Set,Wobbuffet V,1.09
SWSH01,Sword & Shield Base Set,Wobbuffet V (Full Art),2.61
SWSH01,Sword & Shield Base Set,Wooloo (152),0.05
SWSH01,Sword & Shield Base Set,Wooloo (153),0.04
SWSH01,Sword & Shield Base Set,Yamper (073),0.05
SWSH01,Sword & Shield Base Set,Yamper (074),0.04
SWSH01,Sword & Shield Base Set,Zacian V,1.96
SWSH01,Sword & Shield Base Set,Zacian V (Full Art),5.82
SWSH01,Sword & Shield Base Set,Zacian V (Secret),21.54
SWSH01,Sword & Shield Base Set,Zamazenta V,1.46
SWSH01,Sword & Shield Base Set,Zamazenta V (Full Art),4.3
SWSH01,Sword & Shield Base Set,Zamazenta V (Secret),15.92
SWSH02,Rebel Clash,Abomasnow,0.13
SWSH02,Rebel Clash,Aegislash,0.25
SWSH02,Rebel Clash,Alcremie,0.12
SWSH02,Rebel Clash,Appletun,0.32
SWSH02,Rebel Clash,Applin (20),0.04
SWSH02,Rebel Clash,Applin (21),0.07
SWSH02,Rebel Clash,Arcanine,0.35
SWSH02,Rebel Clash,Arrokuda,0.03
SWSH02,Rebel Clash,Barbaracle,0.17
SWSH02,Rebel Clash,Barboach,0.05
SWSH02,Rebel Clash,Barraskewda,0.14
SWSH02,Rebel Clash,Bewear,0.05
SWSH02,Rebel Clash,Big Charm (Secret),6.67
SWSH02,Rebel Clash,Binacle,0.03
SWSH02,Rebel Clash,Boltund V,1.85
SWSH02,Rebel Clash,Boltund V (Full Art),2.59
SWSH02,Rebel Clash,Boss's Orders,1.03
SWSH02,Rebel Clash,Boss's Orders (Full Art),31.26
SWSH02,Rebel Clash,Boss's Orders (Secret),21.14
SWSH02,Rebel Clash,Bronzong,0.05
SWSH02,Rebel Clash,Bronzor,0.04
SWSH02,Rebel Clash,Bunnelby,0.04
SWSH02,Rebel Clash,Burning Scarf,0.11
SWSH02,Rebel Clash,Butterfree,0.17
SWSH02,Rebel Clash,Capacious Bucket,0.29
SWSH02,Rebel Clash,Capture Energy,0.69
SWSH02,Rebel Clash,Carkol,0.04
SWSH02,Rebel Clash,Caterpie,0.14
SWSH02,Rebel Clash,Chandelure,0.34
SWSH02,Rebel Clash,Charjabug,0.06
SWSH02,Rebel Clash,Chatot,0.05
SWSH02,Rebel Clash,Cinderace V,0.78
SWSH02,Rebel Clash,Cinderace V (Full Art),4.2
SWSH02,Rebel Clash,Cinderace VMAX,2.58
SWSH02,Rebel Clash,Cinderace VMAX (Secret),15.32
SWSH02,Rebel Clash,Clefable,0.42
SWSH02,Rebel Clash,Clefairy,0.08
SWSH02,Rebel Clash,Coalossal,0.52
SWSH02,Rebel Clash,Copperajah V,0.83
SWSH02,Rebel Clash,Copperajah V (Full Art),2.53
SWSH02,Rebel Clash,Copperajah VMAX,3.32
SWSH02,Rebel Clash,Copperajah VMAX (Secret),8.09
SWSH02,Rebel Clash,Cramorant,0.21
SWSH02,Rebel Clash,Cursed Shovel,0.14
SWSH02,Rebel Clash,Dan,0.03
SWSH02,Rebel Clash,Diggersby,0.15
SWSH02,Rebel Clash,Doublade,0.05
SWSH02,Rebel Clash,Dragapult,0.47
SWSH02,Rebel Clash,Dragapult V,1.42
SWSH02,Rebel Clash,Dragapult V (Full Art),5.64
SWSH02,Rebel Clash,Dragapult VMAX,2.75
SWSH02,Rebel Clash,Dragapult VMAX (Secret),12.67
SWSH02,Rebel Clash,Drakloak,0.06
SWSH02,Rebel Clash,Dreepy,0.04
SWSH02,Rebel Clash,Dubwool V,0.91
SWSH02,Rebel Clash,Dubwool V (Full Art),2.2
SWSH02,Rebel Clash,Duraludon,0.48
SWSH02,Rebel Clash,Durant,0.07
SWSH02,Rebel Clash,Eiscue,0.35
SWSH02,Rebel Clash,Eiscue V,0.95
SWSH02,Rebel Clash,Eldegoss V,0.9
SWSH02,Rebel Clash,Eldegoss V (Full Art),2.46
SWSH02,Rebel Clash,Electabuzz,0.04
SWSH02,Rebel Clash,Electivire,0.18
SWSH02,Rebel Clash,Electrode,0.05
SWSH02,Rebel Clash,Falinks,0.1
SWSH02,Rebel Clash,Falinks V,1
SWSH02,Rebel Clash,Falinks V (Full Art),2.64
SWSH02,Rebel Clash,Flapple,0.49
SWSH02,Rebel Clash,Frosmoth (Secret),12.03
SWSH02,Rebel Clash,Full Heal,0.05
SWSH02,Rebel Clash,Galar Mine,0.29
SWSH02,Rebel Clash,Galarian Corsola,0.05
SWSH02,Rebel Clash,Galarian Cursola,0.38
SWSH02,Rebel Clash,Galarian Darmanitan,0.14
SWSH02,Rebel Clash,Galarian Darumaka,0.04
SWSH02,Rebel Clash,Galarian Farfetch'd,0.03
SWSH02,Rebel Clash,Galarian Meowth,0.16
SWSH02,Rebel Clash,Galarian Mr. Mime,0.03
SWSH02,Rebel Clash,Galarian Mr. Rime,0.17
SWSH02,Rebel Clash,Galarian Perrserker,0.11
SWSH02,Rebel Clash,Galarian Perrserker (Secret),12.01
SWSH02,Rebel Clash,Galarian Runerigus,0.21
SWSH02,Rebel Clash,Galarian Sirfetch'd,0.28
SWSH02,Rebel Clash,Galarian Weezing,0.63
SWSH02,Rebel Clash,Galarian Yamask,0.04
SWSH02,Rebel Clash,Garbodor,0.59
SWSH02,Rebel Clash,Greedent,0.19
SWSH02,Rebel Clash,Grimmsnarl,0.34
SWSH02,Rebel Clash,Growlithe,0.07
SWSH02,Rebel Clash,Grubbin,0.06
SWSH02,Rebel Clash,Gyarados,0.57
SWSH02,Rebel Clash,Hatenna,0.05
SWSH02,Rebel Clash,Hatterene,0.32
SWSH02,Rebel Clash,Hattrem,0.04
SWSH02,Rebel Clash,Hawlucha,0.05
SWSH02,Rebel Clash,Heatmor,0.04
SWSH02,Rebel Clash,Heliolisk,0.07
SWSH02,Rebel Clash,Helioptile,0.06
SWSH02,Rebel Clash,Heracross,0.05
SWSH02,Rebel Clash,Honedge,0.06
SWSH02,Rebel Clash,Horror P Energy,0.65
SWSH02,Rebel Clash,Impidimp,0.03
SWSH02,Rebel Clash,Indeedee,0.07
SWSH02,Rebel Clash,Inteleon V,1.04
SWSH02,Rebel Clash,Inteleon V (Full Art),3.44
SWSH02,Rebel Clash,Inteleon VMAX,1.96
SWSH02,Rebel Clash,Inteleon VMAX (Secret),11.25
SWSH02,Rebel Clash,Koffing,0.05
SWSH02,Rebel Clash,Lampent,0.08
SWSH02,Rebel Clash,Litwick,0.05
SWSH02,Rebel Clash,Lombre,0.06
SWSH02,Rebel Clash,Lotad,0.06
SWSH02,Rebel Clash,Ludicolo,0.2
SWSH02,Rebel Clash,Luxio,0.09
SWSH02,Rebel Clash,Luxray,0.34
SWSH02,Rebel Clash,Magikarp,0.08
SWSH02,Rebel Clash,Magmar,0.05
SWSH02,Rebel Clash,Magmortar,0.18
SWSH02,Rebel Clash,Malamar V,1.12
SWSH02,Rebel Clash,Malamar V (Full Art),4.23
SWSH02,Rebel Clash,Malamar VMAX,2.41
SWSH02,Rebel Clash,Malamar VMAX (Secret),7.67
SWSH02,Rebel Clash,Mandibuzz,0.15
SWSH02,Rebel Clash,Masquerain,0.04
SWSH02,Rebel Clash,Medicham,0.04
SWSH02,Rebel Clash,Meditite,0.02
SWSH02,Rebel Clash,Metapod,0.15
SWSH02,Rebel Clash,Milcery,0.03
SWSH02,Rebel Clash,Milo,0.05
SWSH02,Rebel Clash,Milo (Full Art),3.91
SWSH02,Rebel Clash,Milo (Secret),6.91
SWSH02,Rebel Clash,Milotic V,1.82
SWSH02,Rebel Clash,Milotic V (Full Art),10.79
SWSH02,Rebel Clash,Morgrem,0.04
SWSH02,Rebel Clash,Morpeko,0.08
SWSH02,Rebel Clash,Natu,0.03
SWSH02,Rebel Clash,Ninetales,0.33
SWSH02,Rebel Clash,Ninetales V,2.66
SWSH02,Rebel Clash,Ninetales V (Full Art),15.73
SWSH02,Rebel Clash,Nosepass,0.04
SWSH02,Rebel Clash,Nugget,0.07
SWSH02,Rebel Clash,Oleana,0.08
SWSH02,Rebel Clash,Oleana (Full Art),6.61
SWSH02,Rebel Clash,Oleana (Secret),7.42
SWSH02,Rebel Clash,Palossand,0.04
SWSH02,Rebel Clash,Palpitoad,0.06
SWSH02,Rebel Clash,Pelipper,0.05
SWSH02,Rebel Clash,Phantump,0.03
SWSH02,Rebel Clash,Pidove,0.04
SWSH02,Rebel Clash,Pincurchin V,0.84
SWSH02,Rebel Clash,Poke Ball,0.06
SWSH02,Rebel Clash,Probopass,0.16
SWSH02,Rebel Clash,Rillaboom V,1.26
SWSH02,Rebel Clash,Rillaboom V (Full Art),3.31
SWSH02,Rebel Clash,Rillaboom VMAX,2.87
SWSH02,Rebel Clash,Rillaboom VMAX (Secret),10.39
SWSH02,Rebel Clash,Rolycoly,0.03
SWSH02,Rebel Clash,Sandaconda V,0.84
SWSH02,Rebel Clash,Sandaconda V (Full Art),2.24
SWSH02,Rebel Clash,Sandygast,0.05
SWSH02,Rebel Clash,Scizor,0.3
SWSH02,Rebel Clash,Scoop Up Net,2
SWSH02,Rebel Clash,Scoop Up Net (Secret),13.66
SWSH02,Rebel Clash,Scyther,0.08
SWSH02,Rebel Clash,Seismitoad,0.19
SWSH02,Rebel Clash,Shinx,0.04
SWSH02,Rebel Clash,Shuckle,0.1
SWSH02,Rebel Clash,Sigilyph,0.17
SWSH02,Rebel Clash,Skuntank,0.07
SWSH02,Rebel Clash,Skwovet,0.03
SWSH02,Rebel Clash,Skyla,0.16
SWSH02,Rebel Clash,Snorlax,0.21
SWSH02,Rebel Clash,Snover,0.03
SWSH02,Rebel Clash,Sonia,0.14
SWSH02,Rebel Clash,Sonia (Full Art),27.55
SWSH02,Rebel Clash,Sonia (Secret),12.67
SWSH02,Rebel Clash,Speed L Energy,1.36
SWSH02,Rebel Clash,Spiritomb,0.19
SWSH02,Rebel Clash,Stonjourner,0.33
SWSH02,Rebel Clash,Stufful,0.05
SWSH02,Rebel Clash,Stunky,0.06
SWSH02,Rebel Clash,Surskit,0.05
SWSH02,Rebel Clash,Tool Scrapper,0.16
SWSH02,Rebel Clash,Tool Scrapper (Secret),3.49
SWSH02,Rebel Clash,Toxel,0.03
SWSH02,Rebel Clash,Toxtricity,0.17
SWSH02,Rebel Clash,Toxtricity V,0.89
SWSH02,Rebel Clash,Toxtricity V (Full Art),3.07
SWSH02,Rebel Clash,Toxtricity VMAX,3.47
SWSH02,Rebel Clash,Toxtricity VMAX (Secret),11.29
SWSH02,Rebel Clash,Training Court,0.91
SWSH02,Rebel Clash,Tranquill,0.06
SWSH02,Rebel Clash,Trevenant,0.2
SWSH02,Rebel Clash,Trubbish,0.06
SWSH02,Rebel Clash,Turffield Stadium,0.14
SWSH02,Rebel Clash,Twin Energy,1.79
SWSH02,Rebel Clash,Twin Energy (Secret),10.25
SWSH02,Rebel Clash,Tympole,0.04
SWSH02,Rebel Clash,Unfezant,0.15
SWSH02,Rebel Clash,Vikavolt,0.32
SWSH02,Rebel Clash,Voltorb,0.04
SWSH02,Rebel Clash,Vullaby,0.06
SWSH02,Rebel Clash,Vulpix,0.06
SWSH02,Rebel Clash,Whiscash,0.2
SWSH02,Rebel Clash,Wingull,0.03
SWSH02,Rebel Clash,Xatu,0.07
SWSH02,Rebel Clash,Zacian,0.46
SWSH02,Rebel Clash,Zamazenta,0.41
SWSH03,Darkness Ablaze,Accelgor,0.1
SWSH03,Darkness Ablaze,Aggron,0.31
SWSH03,Darkness Ablaze,Ampharos,0.14
SWSH03,Darkness Ablaze,Arctovish,0.19
SWSH03,Darkness Ablaze,Arctozolt,0.47
SWSH03,Darkness Ablaze,Ariados,0.04
SWSH03,Darkness Ablaze,Aron,0.02
SWSH03,Darkness Ablaze,Beartic,0.17
SWSH03,Darkness Ablaze,Big Parasol,0.37
SWSH03,Darkness Ablaze,Big Parasol (Secret),5.37
SWSH03,Darkness Ablaze,Billowing Smoke,0.08
SWSH03,Darkness Ablaze,Bird Keeper,0.17
SWSH03,Darkness Ablaze,Blaziken,0.53
SWSH03,Darkness Ablaze,Bounsweet,0.05
SWSH03,Darkness Ablaze,Bunnelby,0.04
SWSH03,Darkness Ablaze,Butterfree V,0.93
SWSH03,Darkness Ablaze,Butterfree V (Full Art),1.96
SWSH03,Darkness Ablaze,Butterfree VMAX,1.8
SWSH03,Darkness Ablaze,Butterfree VMAX (Secret),8.35
SWSH03,Darkness Ablaze,Cape of Toughness,0.19
SWSH03,Darkness Ablaze,Capture Energy (Secret),9.34
SWSH03,Darkness Ablaze,Carnivine,0.03
SWSH03,Darkness Ablaze,Centiskorch V,0.95
SWSH03,Darkness Ablaze,Centiskorch V (Full Art),1.75
SWSH03,Darkness Ablaze,Centiskorch VMAX,1.67
SWSH03,Darkness Ablaze,Centiskorch VMAX (Secret),6.67
SWSH03,Darkness Ablaze,Charizard V,5.82
SWSH03,Darkness Ablaze,Charizard VMAX,31.91
SWSH03,Darkness Ablaze,Coalossal (Secret),5.39
SWSH03,Darkness Ablaze,Combusken,0.05
SWSH03,Darkness Ablaze,Copperajah,0.32
SWSH03,Darkness Ablaze,Corviknight,0.27
SWSH03,Darkness Ablaze,Corvisquire,0.04
SWSH03,Darkness Ablaze,Crobat V,1.43
SWSH03,Darkness Ablaze,Crobat V (Full Art),2.55
SWSH03,Darkness Ablaze,Cubchoo,0.04
SWSH03,Darkness Ablaze,Cufant,0.03
SWSH03,Darkness Ablaze,Darkrai,0.26
SWSH03,Darkness Ablaze,Dartrix,0.03
SWSH03,Darkness Ablaze,Decidueye,0.26
SWSH03,Darkness Ablaze,Dedenne,0.08
SWSH03,Darkness Ablaze,Deino,0.03
SWSH03,Darkness Ablaze,Delcatty,0.16
SWSH03,Darkness Ablaze,Diggersby,0.12
SWSH03,Darkness Ablaze,Diglett,0.03
SWSH03,Darkness Ablaze,Dracovish,0.44
SWSH03,Darkness Ablaze,Dracozolt,0.21
SWSH03,Darkness Ablaze,Ducklett,0.02
SWSH03,Darkness Ablaze,Dugtrio,0.03
SWSH03,Darkness Ablaze,Dunsparce,0.03
SWSH03,Darkness Ablaze,Electrike,0.02
SWSH03,Darkness Ablaze,Escavalier,0.14
SWSH03,Darkness Ablaze,Eternatus V,1.46
SWSH03,Darkness Ablaze,Eternatus VMAX,4.57
SWSH03,Darkness Ablaze,Eternatus VMAX (Secret),9.05
SWSH03,Darkness Ablaze,Familiar Bell,0.05
SWSH03,Darkness Ablaze,Feebas,0.03
SWSH03,Darkness Ablaze,Flaaffy,0.05
SWSH03,Darkness Ablaze,Fletchinder,0.02
SWSH03,Darkness Ablaze,Fletchling,0.02
SWSH03,Darkness Ablaze,Flygon,0.14
SWSH03,Darkness Ablaze,Furret,0.06
SWSH03,Darkness Ablaze,Galarian Darmanitan (28),0.18
SWSH03,Darkness Ablaze,Galarian Darmanitan (44),0.21
SWSH03,Darkness Ablaze,Galarian Darumaka,0.02
SWSH03,Darkness Ablaze,Galarian Mr. Mime,0.02
SWSH03,Darkness Ablaze,Galarian Mr. Rime,0.21
SWSH03,Darkness Ablaze,Galarian Sirfetch'd,0.22
SWSH03,Darkness Ablaze,Galarian Slowbro V,0.74
SWSH03,Darkness Ablaze,Galarian Stunfisk V,0.77
